category,title,creator,publication_year,description
album,Black Sabbath,Black Sabbath,1970,
album,Paranoid,Black Sabbath,1970,
album,Master of Reality,Black Sabbath,1971,
album,Vol. 4,Black Sabbath,1972,
album,Sabbath Bloody Sabbath,Black Sabbath,1973,
album,Sabotage,Black Sabbath,1975,
album,Technical Ecstasy,Black Sabbath,1976,
album,Three Imaginary Boys,The Cure,1979,
album,Seventeen Seconds,The Cure,1980,
album,Faith,The Cure,1981,
album,Pornography,The Cure,1982,
album,The Top,The Cure,1985,
album,The Head on the Door,The Cure,1985,
album,Kiss Me, Kiss Me, Kiss Me,The Cure,1987,
album,Disintegration,The Cure,1989,
album,Wish,The Cure,1992,
album,Pretty Hate Machine,Nine Inch Nails,1989,
album,The Downward Spiral,Nine Inch Nails,1994,
album,The Fragile,Nine Inch Nails,1999,
album,With Teeth,Nine Inch Nails,2005,
album,Violent Femmes,Violent Femmes,1983,
album,Hallowed Ground,Violent Femmes,1984,
movie,Welcome to the Dollhouse,Todd Solondz,1995,An unattractive seventh grader struggles to cope with life.
movie,Carnival of Souls,1962,After a traumatic accident a woman becomes drawn to a mysterious abandoned carnival.
movie,The Rocky Horror Picture Show,Jim Sharman,1975,A 1975 musical comedy horror film.
movie,Ghost World,Terry Zwigoff,2001,Two unusually devious friends seek direction in life.
movie,Nosferatu,F. W. Murnau,1922,One of the best movies ever made.
