id,user_id,work_id
1,2,6
2,29,6
3,27,8
4,11,12
5,6,32
6,24,24
7,7,10
8,12,34
9,7,1
10,29,23
11,16,2
12,24,23
13,4,1
14,28,5
15,26,12
16,25,14
17,3,34
18,8,36
19,15,22
20,26,3
21,23,22
22,18,16
23,3,11
24,11,20
25,10,16
26,14,34
27,6,11
28,3,21
29,8,21
30,13,17
31,21,33
32,12,36
33,3,24
34,19,8
35,13,11
36,17,10
37,7,24
38,15,12
39,22,16
40,12,32
41,18,35
42,7,2
43,28,23
44,16,22
45,13,29
46,7,26
47,16,4
48,1,18
49,26,14
50,15,15
51,4,34
52,7,15
53,1,28
54,23,35
55,21,31
56,20,20
57,25,4
58,10,7
59,14,29
60,2,33
61,15,14
62,11,22
63,17,35
64,12,23
65,16,7
66,22,28
67,30,21
68,27,33
69,21,19
70,28,15
71,7,11
72,30,29
73,13,35
74,11,27
75,4,17
76,25,27
77,6,17
78,7,22
79,21,22
80,17,1
81,19,6
82,3,17
83,24,12
84,14,35
85,16,14
86,20,9
87,27,24
88,19,16
89,9,24
90,15,7
91,18,11
92,24,17
93,21,32
94,20,33
95,18,19
96,6,27
97,28,17
98,6,6
99,25,12
100,30,17
101,22,25
102,4,3
103,9,27
104,24,14
105,14,28
106,21,6
107,12,3
108,17,5
109,21,25
110,23,24
111,12,31
112,9,10
113,28,14
114,3,10
115,5,1
116,11,5
117,1,5
118,13,32
119,5,13
120,6,14
121,10,8
122,22,4
123,6,29
124,22,8
125,3,30
126,24,22
127,27,18
128,16,12
129,11,14
130,8,7
131,16,8
132,25,8
133,6,22
134,28,30
135,3,33
136,13,7
137,6,35
138,23,27
139,13,16
140,30,19
141,6,4
142,8,6
143,28,11
144,11,11
145,17,31
146,11,17
147,3,22
148,14,14
149,13,33
150,25,18
151,14,4
152,17,9
153,20,34
154,18,1
155,29,30
156,24,25
157,3,26
158,12,18
159,12,16
160,25,29
161,6,36
162,25,11
163,27,4
164,1,19
165,20,21
166,24,11
167,19,31
168,20,29
169,7,9
170,25,10
171,15,5
172,1,25
173,24,29
174,9,18
175,19,22
176,12,11
177,20,4
178,9,17
179,3,13
180,13,13
181,16,1
182,11,28
183,19,11
184,21,28
185,17,17
186,13,23
187,19,32
188,6,25
189,1,23
190,26,30
191,23,1
192,25,31
193,10,28
194,15,35
195,1,35
196,18,34
197,10,13
198,27,16
199,4,7
200,2,2
